measure_index,0
timestamp,20260722_164335
num_points,1024

point_index,value
0,65535.0
1,65535.0
2,65535.0
3,65535.0
4,65535.0
5,65535.0
6,65535.0
7,65535.0
8,65535.0
9,65535.0
10,65535.0
11,65535.0
12,65535.0
13,65535.0
14,65535.0
15,65535.0
16,65535.0
17,65535.0
18,65535.0
19,65535.0
20,65535.0
21,65535.0
22,65535.0
23,65535.0
24,65535.0
25,65535.0
26,65535.0
27,65535.0
28,65535.0
29,65535.0
30,65535.0
31,65535.0
32,65535.0
33,65535.0
34,65535.0
35,65535.0
36,65535.0
37,65535.0
38,65535.0
39,65535.0
40,65535.0
41,65535.0
42,65535.0
43,65535.0
44,65535.0
45,65535.0
46,65535.0
47,65535.0
48,65535.0
49,65535.0
50,65535.0
51,65535.0
52,65535.0
53,65535.0
54,65535.0
55,65535.0
56,65535.0
57,65535.0
58,65535.0
59,65535.0
60,65535.0
61,65535.0
62,65535.0
63,65535.0
64,65535.0
65,65535.0
66,65535.0
67,65535.0
68,65535.0
69,65535.0
70,65535.0
71,65535.0
72,65535.0
73,65535.0
74,65535.0
75,65535.0
76,65535.0
77,65535.0
78,65535.0
79,65535.0
80,65535.0
81,65535.0
82,65535.0
83,65535.0
84,65535.0
85,65535.0
86,65535.0
87,65535.0
88,65535.0
89,65535.0
90,65535.0
91,65535.0
92,65535.0
93,65535.0
94,65535.0
95,65535.0
96,65535.0
97,65535.0
98,65535.0
99,65535.0
100,65535.0
101,65535.0
102,65535.0
103,65535.0
104,65535.0
105,65535.0
106,65535.0
107,65535.0
108,65535.0
109,65535.0
110,65535.0
111,65535.0
112,65535.0
113,65535.0
114,65535.0
115,65535.0
116,65535.0
117,65535.0
118,65535.0
119,65535.0
120,65535.0
121,65535.0
122,65535.0
123,65535.0
124,65535.0
125,65535.0
126,65535.0
127,65535.0
128,65535.0
129,65535.0
130,65535.0
131,65535.0
132,65535.0
133,65535.0
134,65535.0
135,65535.0
136,65535.0
137,65535.0
138,65535.0
139,65535.0
140,65535.0
141,65535.0
142,65535.0
143,65535.0
144,65535.0
145,65535.0
146,65535.0
147,65535.0
148,65535.0
149,65535.0
150,65535.0
151,65535.0
152,65535.0
153,65535.0
154,65535.0
155,65535.0
156,65535.0
157,65535.0
158,65535.0
159,65535.0
160,65535.0
161,65535.0
162,65535.0
163,65535.0
164,65535.0
165,65535.0
166,65535.0
167,65535.0
168,65535.0
169,65535.0
170,65535.0
171,65535.0
172,65535.0
173,65535.0
174,65535.0
175,65535.0
176,65535.0
177,65535.0
178,65535.0
179,65535.0
180,65535.0
181,65535.0
182,65535.0
183,65535.0
184,65535.0
185,65535.0
186,65535.0
187,65535.0
188,65535.0
189,65535.0
190,65535.0
191,65535.0
192,65535.0
193,65535.0
194,65535.0
195,65535.0
196,65535.0
197,65535.0
198,65535.0
199,65535.0
200,65535.0
201,65535.0
202,65535.0
203,65535.0
204,65535.0
205,65535.0
206,65535.0
207,65535.0
208,65535.0
209,65535.0
210,65535.0
211,65535.0
212,65535.0
213,65535.0
214,65535.0
215,65535.0
216,65535.0
217,65535.0
218,65535.0
219,65535.0
220,65535.0
221,65535.0
222,65535.0
223,65535.0
224,65535.0
225,65535.0
226,65535.0
227,65535.0
228,65535.0
229,65535.0
230,65535.0
231,65535.0
232,65535.0
233,65535.0
234,65535.0
235,65535.0
236,65535.0
237,65535.0
238,65535.0
239,65535.0
240,65535.0
241,65535.0
242,65535.0
243,65535.0
244,65535.0
245,65535.0
246,65535.0
247,65535.0
248,65535.0
249,65535.0
250,65535.0
251,65535.0
252,65535.0
253,65535.0
254,65535.0
255,65535.0
256,65535.0
257,65535.0
258,65535.0
259,65535.0
260,65535.0
261,65535.0
262,65535.0
263,65535.0
264,65535.0
265,65535.0
266,65535.0
267,65535.0
268,65535.0
269,65535.0
270,65535.0
271,65535.0
272,65535.0
273,65535.0
274,65535.0
275,65535.0
276,65535.0
277,65535.0
278,65535.0
279,65535.0
280,65535.0
281,65535.0
282,65535.0
283,65535.0
284,65535.0
285,65535.0
286,65535.0
287,65535.0
288,65535.0
289,65535.0
290,65535.0
291,65535.0
292,65535.0
293,65535.0
294,65535.0
295,65535.0
296,65535.0
297,65535.0
298,65535.0
299,65535.0
300,65535.0
301,65535.0
302,65535.0
303,65535.0
304,65535.0
305,65535.0
306,65535.0
307,65535.0
308,65535.0
309,65535.0
310,65535.0
311,65535.0
312,65535.0
313,65535.0
314,65535.0
315,65535.0
316,65535.0
317,65535.0
318,65535.0
319,65535.0
320,65535.0
321,65535.0
322,65535.0
323,65535.0
324,65535.0
325,65535.0
326,65535.0
327,65535.0
328,65535.0
329,65535.0
330,65535.0
331,65535.0
332,65535.0
333,65535.0
334,65535.0
335,65535.0
336,65535.0
337,65535.0
338,65535.0
339,65535.0
340,65535.0
341,65535.0
342,65535.0
343,65535.0
344,65535.0
345,65535.0
346,65535.0
347,65535.0
348,65535.0
349,65535.0
350,65535.0
351,65535.0
352,65535.0
353,65535.0
354,65535.0
355,65535.0
356,65535.0
357,65535.0
358,65535.0
359,65535.0
360,65535.0
361,65535.0
362,65535.0
363,65535.0
364,65535.0
365,65535.0
366,65535.0
367,65535.0
368,65535.0
369,65535.0
370,65535.0
371,65535.0
372,65535.0
373,65535.0
374,65535.0
375,65535.0
376,65535.0
377,65535.0
378,65535.0
